Timestamp,Frame,Raw_gaze,Smooth_gaze,Horiz_Pos,Vert_Pos,Warmup_Frames
11.700,117,LEFT,LEFT,0.575,15.942,NONE
11.800,118,LEFT,LEFT,0.577,16.019,NONE
11.900,119,LEFT,LEFT,0.578,15.811,NONE
12.000,120,LEFT,LEFT,0.575,16.137,NONE
12.100,121,LEFT,LEFT,0.579,16.175,NONE
12.200,122,LEFT,LEFT,0.582,16.412,NONE
12.300,123,LEFT,LEFT,0.575,16.449,NONE
12.400,124,LEFT,LEFT,0.576,16.578,NONE
12.500,125,LEFT,LEFT,0.583,16.917,NONE
12.600,126,LEFT,LEFT,0.581,17.108,NONE
12.700,127,LEFT,LEFT,0.580,16.847,NONE
12.800,128,LEFT,LEFT,0.582,16.721,NONE
12.900,129,LEFT,LEFT,0.582,16.419,NONE
13.000,130,LEFT,LEFT,0.575,15.952,NONE
13.100,131,LEFT,LEFT,0.569,15.858,NONE
13.200,132,LEFT,LEFT,0.567,16.026,NONE
13.300,133,LEFT,LEFT,0.566,16.002,NONE
13.400,134,LEFT,LEFT,0.564,16.041,NONE
13.500,135,LEFT,LEFT,0.560,15.767,NONE
13.600,136,UP,LEFT,0.549,15.800,NONE
